"","specie_name","specie_code"
"414","Oreichthys cosuatis","1026491"
"415","Oreoleuciscus handlirschi","1624863"
"416","Ospatulus palaemophagus","1530963"
"417","Osteobrama belangeri","1021210"
"418","Osteobrama cotio","1026492"
"419","Oxygaster anomalura","1022111"
"420","Oxygaster pointoni","1015543"
"421","Pachychilon macedonicum","1019559"
"422","Parachela cyanea","1010859"
"423","Parachela oxygastroides","1026711"
"424","Parachela siamensis","1020729"
"425","Paracrossochilus acerus","1013678"
"426","Paralaubuca barroni","1015548"
"427","Parapsilorhynchus tentaculatus","1016968"
"428","Pararasbora moltrechti","1018036"
"429","Parazacco vuquangensis","1010868"
"430","Parluciosoma labiosa","1623261"
"431","Pectenocypris balaena","1011541"
"432","Phoxinellus adspersus","1516703"
"433","Phoxinus cumberlandensis","1527152"
"434","Phoxinus eos","567539"
"435","Phoxinus erythrogaster","1249855"
"436","Phoxinus neogaeus","567542"
"437","Phoxinus phoxinus","154326"
"438","Phreatichthys andruzzii","1016403"
"439","Plagiognathops microlepis","1020573"
"440","Platygobio gracilis","567544"
"441","Platypharodon extremus","1019571"
"442","Poropuntius deauratus","1022191"
"443","Procypris merus","1621515"
"444","Procypris rabaudi","1015895"
"445","Prolabeo batesi","1015702"
"446","Prolabeops melanhypoptera","1623037"
"447","Pseudobarbus asper","1017779"
"448","Pseudolaubuca jouyi","1018533"
"449","Pseudoperilampus hondae","1532779"
"450","Pseudophoxinus stymphalicus","1624258"
"451","Pseudopungtungia nigra","1015268"
"452","Ptychidio jordani","1015865"
"453","Pungtungia herzi","1375227"
"454","Puntioplites bulu","1021774"
"455","Puntioplites waandersi","1021289"
"456","Puntioplites proctozystron","1020932"
"457","Rasborichthys helfrichii","1021448"
"458","Rasborinus lineatus","1623173"
"459","Rectoris posehensis","1015271"
"460","Relictus solitarius","1383636"
"461","Richardsonius balteatus","592850"
"462","Rohteichthys microlepis","1021828"
"463","Romanogobio tenuicorpus","1015549"
"464","Salmostoma bacaila","282655"
"465","Sanagia velifera","1016243"
"466","Saurogobio dabryi","298273"
"467","Sawbwa resplendens","1017016"
"468","Scaphognathops bandanensis","1013128"
"469","Schismatorhynchos heterorhynchos","1419158"
"470","Schizocypris brucei","1017239"
"471","Schizothorax curvifrons","1013990"
"472","Schizothorax esocinus","1017935"
"473","Schizothorax richardsonii","1018368"
"474","Schizothorax yunnanensis","-999"
"475","Schizothorax cryptolepis","1012026"
"476","Schizothorax davidi","1019700"
"477","Schizothorax prenanti","1015896"
"478","Schizothorax molesworthi","1017390"
"479","Schizothorax progastus","1026849"
"480","Schizothorax plagiostomus","1022183"
"481","Securicula gora","-999"
"482","Semilabeo notabilis","1383101"
"483","Sikukia gudgeri","1296624"
"484","Sinibrama macrops","1020731"
"485","Sinilabeo decorus","1533876"
"486","Sinocyclocheilus anatirostris","1010499"
"487","Sinocyclocheilus grahami","282800"
"488","Spinibarbus denticulatus","1016276"
"489","Spinibarbus sinensis","1020560"
"490","Spratellicypris palata","1622487"
"491","Squalidus biwae","1623475"
"492","Stypodon signifer","1019968"
"493","Systomus brevis","1537264"
"494","Systomus partipentazona","1623419"
