"specie_name","specie_code"
"Misgurnus fossilis","154352"
"Misgurnus mizolepis","1019737"
"Iksookimia choii","1593802"
"Enobarbichthys maculatus","1535165"
"Chromobotia macracanthus","1021712"
"Yasuhikotakia modesta","1020293"
"Syncrossus hymenophysa","1021711"
"Psilorhynchus sucatio","1022789"
"Aborichthys elongatus","1016819"
"Acanthocobitis botia","1026425"
"Annamia normani","1015814"
"Balitora annamitica","1011773"
"Barbatula barbatula","1013379"
"Barbucca diabolica","1011539"
"Bhavania australis","1016886"
"Crossostoma lacustre","1012167"
"Ellopostoma megalomycter","1526182"
"Gastromyzon borneensis","1020372"
"Glaniopsis denudata","1383774"
"Hemimyzon formosanum","1620864"
"Homaloptera bilineata","1020638"
"Hypergastromyzon eubranchus","1011289"
"Indoreonectes evezardi","1020541"
"Lefua echigonia","1018274"
"Micronemacheilus cruciatus","1529774"
"Nemacheilus abyssinicus","1624299"
"Nemacheilus denisoni","1020438"
"Neogastromyzon nieuwenhuisii","1018497"
"Neohomaloptera johorensis","1014561"
"Neonoemacheilus labeosus","1012279"
"Oreonectes anophthalmus","1011783"
"Orthrias panthera","1623380"
"Parhomaloptera microstoma","1019061"
"Physoschistura brunneanus","1621979"
"Protomyzon aphelocheilus","1013663"
"Schistura balteata","1014326"
"Sectoria atriceps","1014467"
"Sewellia lineolata","1021995"
"Sinogastromyzon puliensis","1012882"
"Sphaerophysa dianchiensis","1011777"
"Sundoreonectes tiomanensis","1526409"
"Travancoria jonesi","1014754"
"Triplophysa choprai","1015561"
"Troglocobitis starostini","1012188"
"Tuberoschistura cambodgiensis","1011416"
"Vaillantella cinnamomea","1384063"
"Yunnanilus altus","1011772"
"Alticorpus macrocleithrum","1011988"
"Altolamprologus calvus","1012644"
"Amphilophus citrinellus","991188"
"Anomalochromis thomasi","1017217"
"Apistogrammoides pucallpaensis","1013457"
"Archocentrus centrarchus","1020252"
"Aristochromis christyi","1015286"
"Asprotilapia leptura","1575445"
"Aulonocara auditor","1015452"
"Aulonocranus dewindti","1026857"
"Baileychromis centropomoides","1012734"
"Benthochromis tricoti","1014336"
"Biotodoma cupido","1022401"
"Biotoecus opercularis","1422068"
"Boulengerochromis microlepis","1019102"
"Buccochromis atritaeniatus","1016783"
"Bujurquina cordemadi","1011854"
"Callochromis macrops","1015838"
"Caprichromis liemi","1012283"
"Caquetaia kraussii","1020130"
"Cardiopharynx schoutedeni","1014666"
"Chaetobranchopsis australis","1018294"
"Chaetobranchus flavescens","1020536"
"Chalinochromis brichardi","1011560"
"Champsochromis caeruleus","1015841"
"Cheilochromis euchilus","1525377"
"Chilochromis duponti","1018790"
"Chilotilapia rhoadesii","1018045"
"Chromidotilapia batesii","1624117"
"Cleithracara maronii","405367"
"Copadichromis azureus","1011431"
"Copadichromis virginalis","1013823"
"Corematodus shiranus","1019220"
"Ctenopharynx intermedius","1021066"
"Cunningtonia longiventralis","1018398"
"Cyathopharynx furcifer","1019098"
"Cyclopharynx fwae","1014298"
"Cyprichromis leptosoma","1019204"
"Cyrtocara moorii","1018794"
"Danakilia franchettii","1015849"
"Dicrossus maculatus","1015148"
"Dimidiochromis compressiceps","1018246"
"Dimidiochromis kiwinge","1016298"
"Diplotaxodon greenwoodi","1010556"
"Diplotaxodon argenteus","1015287"
"Diplotaxodon ecclesi","1009389"
"Diplotaxodon limnothrissa","1010906"
"Oreochromis mossambicus","218777"
"Oreochromis niloticus","293639"
"Oreochromis aureus","279196"
"Oreochromis spilurus","293645"
"Oreochromis macrochir","298252"
"Oreochromis urolepis","293646"
"Oreochromis andersonii","279194"
"Oreochromis alcalicus","1605298"
"Oreochromis amphimelas","279193"
"Oreochromis angolensis","279195"
"Oreochromis chungruruensis","1016542"
"Oreochromis esculentus","1016104"
"Oreochromis hunteri","1019688"
"Oreochromis jipe","1027004"
"Oreochromis karomo","1014343"
"Oreochromis karongae","1014812"
"Oreochromis korogwe","279197"
"Oreochromis lepidurus","279198"
"Oreochromis leucostictus","1014962"
"Oreochromis lidole","1014813"
"Oreochromis malagarasi","1524173"
"Oreochromis mortimeri","1013438"
"Oreochromis pangani","1528683"
"Oreochromis placidus","293642"
"Oreochromis rukwaensis","1018761"
"Oreochromis saka","1014123"
"Oreochromis salinicola","1014339"
"Oreochromis schwebischi","1026683"
"Oreochromis shiranus","293644"
"Oreochromis squamipinnis","1420555"
"Oreochromis tanganicae","279204"
"Oreochromis upembae","1012193"
"Oreochromis variabilis","1018485"
"Sarotherodon galilaeus","293731"
"Sarotherodon melanotheron","293732"
"Cichlasoma beani","280185"
"Cichlasoma bimaculatum","1021606"
"Cichlasoma facetum","1340249"
"Cichlasoma istlanum","1015336"
"Cichlasoma cyanoguttatum","1435093"
"Cichlasoma managuense","1435104"
"Cichlasoma maculicauda","314127"
"Cichlasoma urophthalmus","280186"
"Cichlasoma nigrofasciatum","991201"
"Cichlasoma octofasciatum","991203"
"Cichlasoma festae","1624393"
"Cichla ocellaris","280183"
"Cichla temensis","1015785"
"Cichla monoculus","1014783"
"Cichla orinocensis","1022807"
"Tilapia zillii","282980"
"Tilapia sparrmanii","1015839"
"Tilapia guineensis","-999"
"Tilapia bakossiorum","1566595"
"Tilapia baloni","1383660"
"Tilapia bemini","1527465"
"Tilapia bilineata","1566564"
"Tilapia brevimanus","581718"
"Tilapia busumana","1470224"
"Tilapia buttikoferi","1048615"
"Tilapia bythobates","1566596"
"Tilapia cabrae","1048707"
"Tilapia cameronensis","1566565"
"Tilapia camerunensis","1488261"
"Tilapia cessiana","1051729"
"Tilapia coffea","1051725"
"Tilapia congica","1622752"
"Tilapia dageti","1051726"
"Tilapia deckerti","1527868"
"Tilapia discolor","1623974"
"Tilapia flava","1566597"
"Tilapia guinasana","1015144"
"Tilapia gutturosa","1566598"
"Tilapia imbriferna","1566599"
"Tilapia joka","1527755"
"Tilapia kottae","1471195"
"Tilapia louka","1048608"
"Tilapia margaritacea","1531236"
